Unit#, Date/Time, RF_PMT, RF_Ref, GF_PMT, GF_REF, BF_PMT, BF_REF, RB_PMT, RB_REF, GB_PMT, GB_REF, BB_PMT, BB_REF,Temp ,Pressure, RH%,  PMT DARK, Forw Dark Ref, Back Dark Ref, Back scatt Red, Back scatt Green, Back scatt Blue , Total scatt Red, Total scatt Green, Total scatt Blue, Fan RPM
IN1024,25/45/165 45:158:6,8244865,26376668,6682091,10548966,11927480,17411750,3986573,52473731,3482198,18649463,5104644,36232261,34.71,98.86,39.5,2509648,2516531,2499831,15.650895939222,13.838090776619,13.737072825808,73.767402367963,81.205153850711,86.472680977835,0
IN1024,25/45/165 45:158:34,7970370,25888836,6579340,10467861,11718050,17297071,3957531,51489895,3465689,18489584,5063383,35985210,35.41,98.85,39.5,2510594,2514573,2497884,15.643675004663,13.667681575716,13.515461773142,71.365924776071,79.550127028624,84.626777992010,0
IN1024,25/45/165 45:159:1,8012383,25672899,6708240,10425638,11735360,17232344,3926230,51032837,3468118,18406865,5086361,35849615,36.11,98.85,39.4,2508018,2515509,2498063,15.423220427724,13.914765257876,13.925199811418,72.607441709253,83.509763645178,85.787194000162,0
IN1024,25/45/165 45:159:29,8407745,25535684,6360154,10400544,10925715,17187088,3753100,50746566,3321830,18357438,4661656,35756970,36.69,98.84,33.7,2510134,2514898,2498267,12.922740957725,10.512102914119,9.448957056817,76.655560357576,71.972285466129,71.959633861754,0
IN1024,25/45/165 45:159:57,7108994,25440432,5838904,10382987,9471986,17157106,3718395,50547512,3308140,18320924,4642650,35691751,37.11,98.84,24.2,2510165,2516711,2499420,12.480694651372,10.242839942483,9.306042118732,56.556540532541,59.314776637187,54.625690739602,0
IN1024,25/45/165 45:120:25,6832594,25372162,5586992,10367291,8902504,17132608,3703472,50407132,3299407,18295360,4629557,35644487,37.43,98.83,16.5,2513513,2517010,2499624,12.260975450390,9.995166527763,9.174088168523,52.222489084582,53.042811425557,47.769706237520,0
IN1024,25/45/165 45:120:52,6715168,25321697,6018574,10355712,8624161,17112766,3706811,50303906,3299571,18274451,4609539,35606081,37.66,98.84,11.1,2513321,2519329,2501614,12.356145823289,10.034623902157,8.995992147138,50.655480130593,63.716362031418,44.371063196288,0
IN1024,25/45/165 45:121:20,6612631,25281712,5388499,10346711,8391911,17096896,3688131,50222163,3290096,18258318,4604464,35575920,37.82,98.83,7.2,2517669,2518838,2501257,12.039237142952,9.730450734677,8.922110114994,48.792350394903,48.067420406904,41.534016837575,0
IN1024,25/45/165 45:121:48,6550484,25252735,5324917,10340692,8289380,17085746,3687991,50160712,3295181,18247235,4591581,35552050,37.95,98.83,4.6,2514531,2517967,2500592,12.108547831759,9.939196052622,8.836780352118,48.023111342722,46.852183544754,40.305302684376,0
IN1024,25/45/165 45:122:15,6555244,25229939,5309572,10334563,8189631,17078815,3686851,50112548,3293307,18239172,4595933,35532776,38.10,98.84,2.9,2514340,2518008,2500792,12.113419164025,9.911507223909,8.903554093794,48.169450512868,46.511598345304,39.210061982465,0
