Unit#, Date/Time, RF_PMT, RF_Ref, GF_PMT, GF_REF, BF_PMT, BF_REF, RB_PMT, RB_REF, GB_PMT, GB_REF, BB_PMT, BB_REF,Temp ,Pressure, RH%,  PMT DARK, Forw Dark Ref, Back Dark Ref, Back scatt Red, Back scatt Green, Back scatt Blue , Total scatt Red, Total scatt Green, Total scatt Blue, Fan RPM
IN1024,25/45/165 45:158:6,8570217,26247893,6949055,10516086,12423180,17377563,4149651,52194267,3648354,18596074,5467230,36110415,35.90,98.96,16.3,2580246,2504040,2488390,17.123393584915,16.123928477424,16.956725763397,79.461027478967,88.430231588764,94.902685581717,0
IN1024,25/45/165 45:158:33,8259843,25748668,6849932,10437201,12432663,17261793,4113907,51201011,3639273,18437963,5500744,35868818,36.61,98.96,16.4,2580911,2506684,2490914,17.056414012696,16.159331813720,17.557921255313,76.593549570579,87.150576271012,96.567084963799,0
IN1024,25/45/165 45:159:1,8305537,25527278,6880591,10398110,12207469,17199159,4087100,50732699,3627915,18357554,5672095,35733631,37.33,98.96,16.6,2584574,2506348,2490805,16.826772393663,15.945641590834,19.508854033481,77.846664020770,88.106096769074,96.307014643532,0
IN1024,25/45/165 45:159:29,8100768,25385023,6823336,10369832,11572225,17152609,3847553,50436265,3406811,18303462,4721029,35640525,37.89,98.95,13.9,2588024,2507831,2491703,13.299525933400,10.753049271018,9.357222147486,71.657461751659,81.846763292003,78.900845951959,0
IN1024,25/45/165 45:159:56,7373666,25292024,5982635,10353185,9913219,17122724,3769062,50254088,3369560,18272243,4651592,35580016,38.30,98.95,5.8,2587610,2506574,2490110,12.190959603875,9.928254982672,8.669745745649,59.612783725572,60.828489740430,58.526449679274,0
IN1024,25/45/165 45:120:24,6740514,25226551,5495919,10338898,8514154,17098367,3748685,50107659,3356500,18245974,4648256,35530191,38.61,98.94,1.9,2588641,2508241,2492346,11.924312564115,9.635088979535,8.669851099070,49.692771594048,48.842678049843,41.855947562348,0
IN1024,25/45/165 45:120:52,6602944,25178177,5391445,10330031,8327304,17083398,3741742,50000391,3353681,18226146,4658023,35491846,38.80,98.95,-0.4,2592766,2508209,2492369,11.796860488031,9.496707464940,8.762383488014,47.493367822632,46.142024278959,39.727934108310,0
IN1024,25/45/165 45:121:19,6571569,25141921,5370037,10320975,8199542,17066709,3736134,49924621,3355479,18208137,4640898,35461009,38.96,98.94,-2.5,2590901,2506296,2490976,11.768925884312,9.606186398028,8.623995606557,47.100914338419,45.840981178875,38.149011392498,0
IN1024,25/45/165 45:121:47,6513724,25110871,5324607,10314678,8119948,17054552,3734671,49866371,3353000,18197573,4628189,35440358,39.11,98.93,-3.6,2592164,2505387,2490067,11.750103656341,9.532081820505,8.492535637052,46.241659914315,44.677935734581,37.101015694500,0
IN1024,25/45/165 45:122:15,6483419,25087365,5288625,10308896,8035001,17045729,3738467,49826441,3357451,18191876,4624450,35423281,39.21,98.92,-4.3,2594229,2507750,2491490,11.793072613111,9.599329551590,8.446627139572,45.848947749149,43.888040475478,36.060672110667,0
