Unit#, Date/Time, RF_PMT, RF_Ref, GF_PMT, GF_REF, BF_PMT, BF_REF, RB_PMT, RB_REF, GB_PMT, GB_REF, BB_PMT, BB_REF,Temp ,Pressure, RH%,  PMT DARK, Forw Dark Ref, Back Dark Ref, Back scatt Red, Back scatt Green, Back scatt Blue , Total scatt Red, Total scatt Green, Total scatt Blue, Fan RPM
IN1024,12/31/14 15:11:59,4277137,26618554,3907490,10663726,6999986,17453632,2854499,53187547,2942378,18900236,5192720,35894902,25.98,99.69,-8.7,2101451,2452746,2443267,5.159010111579,10.729976695876,20.155675937216,8.160691202340,18.066874350378,35.546160455403,0
IN1024,12/31/14 15:12:27,4283291,26614855,3907298,10664474,7012069,17455962,2859044,53186055,2938497,18899214,5202361,35896476,26.00,99.69,-8.6,2098811,2451149,2442116,5.264598152224,10.700789461883,20.291318198693,8.421414735529,18.088455992428,35.854895903010,0
IN1024,12/31/14 15:12:54,4283165,26612410,3906084,10661114,7028070,17453252,2858671,53183844,2944545,18902286,5200630,35894495,26.01,99.69,-8.9,2101143,2452781,2443200,5.225778876051,10.785911815327,20.249388993476,8.346683013635,18.109692574613,36.007843601614,0
IN1024,12/31/14 15:13:22,4284221,26612328,3901773,10663081,7018919,17454939,2859545,53183259,2941741,18900513,5201051,35893036,26.01,99.69,-8.9,2099204,2451366,2441707,5.266876680127,10.765959972831,20.275939290270,8.437417153714,18.007985617403,35.928473418236,0
IN1024,12/31/14 15:13:50,4290445,26612386,3909049,10662363,7021817,17455360,2859746,53183846,2942623,18898973,5201282,35893243,26.04,99.68,-8.9,2101168,2452840,2443034,5.241717279013,10.745170869571,20.259713872733,8.488591781723,18.140400110332,35.930839646177,0
IN1024,12/31/14 15:14:17,4285422,26609855,3912861,10664055,7019012,17454564,2862203,53181720,2943956,18899097,5206386,35891286,26.02,99.69,-8.7,2098736,2451456,2441635,5.313055691930,10.830432256737,20.342927019854,8.516383944298,18.370487146531,36.004502733330,0
IN1024,12/31/14 15:14:45,4286963,26608400,3906443,10660826,7019757,17452446,2859696,53178676,2939223,18898403,5205134,35892421,26.03,99.69,-8.6,2100172,2451784,2441929,5.256162838814,10.687446030671,20.312757362997,8.464352893950,18.042505674017,35.976755994329,0
IN1024,12/31/14 15:15:13,4284883,26607991,3904982,10662163,7026531,17452954,2858799,53178837,2941454,18896602,5206172,35892973,26.04,99.70,-9.0,2099802,2452186,2442236,5.248252535579,10.750569125896,20.327584595776,8.427972481008,18.071174604413,36.082308808399,0
IN1024,12/31/14 15:15:40,4283052,26608843,3914595,10661220,7017333,17452129,2857060,53174199,2940365,18896432,5200578,35890139,26.04,99.69,-9.1,2098634,2450631,2441035,5.240903085045,10.751759542623,20.280492242716,8.405693220682,18.352339647598,35.929842814905,0
IN1024,12/31/14 15:16:8,4280255,26605442,3915753,10660147,7010709,17451029,2856133,53174161,2942524,18897086,5208683,35891994,26.02,99.69,-9.0,2100879,2451523,2441642,5.194226436027,10.749187143958,20.344282284461,8.278392070251,18.332143509192,35.886954734825,0
